id,name,address,x,y
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzQxIyQyIyQ3IyQwMCQzNjEyMjIjNjEjJDEjJDgjJDgz,성성하나로약국,"충청남도 천안시 서북구 업성수변로 94, 천안농협북부권종합시설 주건축물 제1동 지하1층 B101호 (성성동)",127.1403135,36.8473688
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,수암마트약국,"경기도 안산시 상록구 수암1길 7, 101호 (수암동, 선경탑스빌2차)",126.8768372,37.3633606
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkMzgxOTYxIzMxIyQyIyQ3IyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz,온누리자모약국,"경상북도 포항시 남구 청림서길 11-1, (청림동)",129.4122392,35.9954394
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ3OSQzNjE0ODEjNDEjJDEjJDgjJDgz,왕궁온천약국,"전북특별자치도 익산시 춘포면 궁성로 116, 109동 1층 105호 (고려온천아파트상가)",127.0534536,35.923648
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxOTYxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,용인능원약국,"경기도 용인시 처인구 모현면 대지로 448, (성덕자동차공업사)",127.155854,37.3305992
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,용화당약국,"경기도 파주시 파주읍 혜음로 1689, (파주읍)",126.8400207,37.8286467
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQxIyQzIyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz,우리농암약국,"경상북도 문경시 농암면 농암길 64, (농암면)",128.0032596,36.599537
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,이양약국,"전라남도 화순군 이양면 학포로 558, (이양면)",126.9878375,34.8872404
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxNzAyIzMxIyQxIyQ3IyQwMyQzNjE0ODEjNjEjJDEjJDgjJDgz,이포약국,"경기도 여주시 대신면 여양로 1979, (대신면)",127.5457629,37.4028246
JDU4MTI3MSM1MSMkMSMkNCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ3MiQzNjE0ODEjNjEjJDEjJDAjJDgz,일죽중앙약국,"경기도 안성시 일죽면 금일로 459-2, (일죽면)",127.4780878,37.0928805
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz,입장정든약국,"충청남도 천안시 서북구 입장면 성진로 714, (입장면)",127.2103136,36.912663
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ3MiQzNjEyMjIjNjEjJDEjJDQjJDgz,조도밝은약국,"전라남도 진도군 조도면 창유2길 6, (조도면)",126.0469538,34.2978166
JDQ4MTYyMiM1MSMkMSMkOCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5MiQzNjE0ODEjNjEjJDEjJDgjJDgz,청원백화점약국,"충청북도 청주시 서원구 남이면 외천척산길 78, (남이면)",127.4410371,36.5624689
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQ5IyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,포항마더스약국,"경상북도 포항시 남구 냉천로 10, (인덕동, 이마트)",129.3976299,35.9924753
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ3OSQzNjEyMjIjNjEjJDEjJDgjJDgz,향내약국,"경상남도 통영시 미수로 107, 지상2층 (미수동)",128.4011761,34.8250251
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,휘명동산약국,"경상북도 영천시 신녕면 신화로 114-8, (신녕면)",128.7996457,36.0449453
