암호화요양기호,요양기관명,기타인력코드,기타인력코드명,기타인력수
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxNzAyIzExIyQyIyQ3IyQwMCQyNjEwMDIjNDEjJDEjJDQjJDgz,1번약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,1번약국,71,약사,3
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzMxIyQyIyQ3IyQwMCQyNjEwMDIjODEjJDEjJDYjJDgz,1번약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzExIyQxIyQzIyQ5MiQyNjE4MzIjNjEjJDEjJDgjJDgz,1번출구 새싹약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQzIyQxMyQ0NjEwMDIjODEjJDEjJDYjJDgz,1층가까운약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzUxIyQxIyQxIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,1층메디컬약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQ1IyQ5MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,1층바로약국,71,약사,1
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjE0ODEjNTEjJDEjJDYjJDgz,1층약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQxMyQyNjE4MzIjNTEjJDEjJDIjJDgz,1층엔약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMTkxIzIxIyQxIyQxIyQwMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,1층엔약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzQxIyQxIyQ3IyQ5OSQyNjE4MzIjNjEjJDEjJDAjJDgz,1층이화약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxMTkxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,1층천호약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNTgxOTYxIzUxIyQxIyQ1IyQwMyQyNjEwMDIjNjEjJDEjJDgjJDgz,1층푸른약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,1층호약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ4OSQyNjEyMjIjODEjJDEjJDYjJDgz,21C세계로약국,71,약사,3
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQxIyQ3IyQ3OSQyNjE0ODEjNjEjJDEjJDgjJDgz,21세기 동규약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzExIyQxIyQ3IyQxMyQzNjE4MzIjNjEjJDEjJDgjJDgz,21세기 정약국,71,약사,1
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,21세기건강약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDYjJDgz,21세기건강약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5OSQzNjEyMjIjNzEjJDEjJDgjJDgz,21세기건강약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxOTYxIzMxIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,21세기건강약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,21세기고려약국,71,약사,2
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQxIyQ2MiQyNjEyMjIjNjEjJDEjJDQjJDgz,21세기길약국,71,약사,2
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,21세기맑은약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,21세기메디칼약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxNzAyIzIxIyQxIyQxIyQwMyQyNjE4MzIjNzEjJDEjJDgjJDgz,21세기메디칼약국,71,약사,1
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxOTYxIzMxIyQxIyQ3IyQ3OSQzNjE4MzIjNjEjJDEjJDAjJDgz,21세기박약국,71,약사,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQyNjEwMDIjNjEjJDEjJDgjJDgz,21세기분당종로약국,71,약사,2
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQyIyQ1IyQwMCQyNjEwMDIjNTEjJDEjJDIjJDgz,21세기상계약국,71,약사,4
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjNTEjJDEjJDIjJDgz,21세기세계로약국,71,약사,2
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNjEjJDEjJDgjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxNzAyIzExIyQxIyQ3IyQwMyQ0NjE0ODEjNzEjJDEjJDgjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxMzUxIzQxIyQxIyQ3IyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMTkxIzQxIyQxIyQ3IyQ3OSQyNjE0ODEjNTEjJDEjJDIjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ5OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQ5OSQ0NjEwMDIjODEjJDEjJDYjJDgz,21세기약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQwMyQzNjEwMDIjNjEjJDEjJDQjJDgz,21세기약국,71,약사,2
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkMzgxOTYxIzIxIyQxIyQxIyQ4MiQzNjE0ODEjNjEjJDEjJDQjJDgz,21세기약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ4MiQzNjEwMDIjNTEjJDEjJDIjJDgz,21세기약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxMTkxIzExIyQxIyQzIyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,21세기약국,71,약사,1
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkMzgxOTYxIzUxIyQxIyQ1IyQ4OSQyNjEwMDIjNjEjJDEjJDQjJDgz,21세기약국,71,약사,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ4MiQyNjEyMjIjODEjJDEjJDIjJDgz,21세기약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQyIyQxIyQwMCQ0NjEwMDIjNjEjJDEjJDAjJDgz,21세기약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQxMyQ0NjE0ODEjNTEjJDEjJDIjJDgz,21세기약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMzUxIzUxIyQxIyQxIyQ2MiQyNjEwMDIjNDEjJDEjJDgjJDgz,21세기연세약국,71,약사,5
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNjEjJDEjJDgjJDgz,21세기우리네약국,71,약사,1
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,21세기종합약국,71,약사,1
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,21세기청학보건당약국,71,약사,3
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzIxIyQxIyQxIyQ5MiQzNjEyMjIjNDEjJDEjJDgjJDgz,228약국,71,약사,2
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz,24시새벽약국,71,약사,1
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz,24시새벽약국,72,한약사,1
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,24시약국,71,약사,1
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,24시약국,72,한약사,1
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzExIyQyIyQ3IyQwMCQ0NjE0ODEjNDEjJDEjJDgjJDgz,25시약국,71,약사,1
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQ3IyQ3MiQyNjEyMjIjNDEjJDEjJDQjJDgz,2동탄약국,71,약사,2
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQ3IyQwMyQyNjE4MzIjNjEjJDEjJDQjJDgz,2층 리본약국,71,약사,2
